Matchweek,Arsenal,Aston Villa,Bournemouth,Brentford,Brighton,Chelsea,Crystal Palace,Everton,Fulham,Leeds,Leicester,Liverpool,Man City,Man Utd,Newcastle,Nott'm Forest,Southampton,Spurs,West Ham,Wolves
Matchweek 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matchweek 1,3.0019,0.0005,3.0019,1.0012,3.0015,3.0013,0.0005,0.0006,1.0012,3.0015,1.0012,1.0012,3.0019,0.0008,3.0019,0.0005,0.0001,3.002,0.0005,0.0008
Matchweek 2,6.0019,3.001,3.0006,4.0019,4.0013,4.0014,1.0005,0.0005,2.0011,4.0015,1.0007,2.0012,6.002,0.0001,4.0016,3.0009,1.0003,4.0017,0.0002,1.0009
Matchweek 3,9.002,3.0004,3.0002,4.0016,7.0015,4.0008,4.0012,1.0007,5.0013,7.0018,1.0005,2.0011,7.0019,3.0003,5.0014,4.001,4.0009,7.0018,0.0001,1.0006
Matchweek 4,12.0018,3.0003,3.0001,5.0015,10.0016,7.0011,4.001,2.0009,5.0012,7.0014,1.0004,5.002,10.002,6.0006,6.0013,4.0005,4.0007,10.0017,3.0002,2.0008
Matchweek 5,15.0018,3.0003,4.0001,6.0016,10.0014,7.0009,5.0011,3.0007,8.0013,8.0015,1.0004,8.0019,13.002,9.0008,6.0012,4.0002,7.0011,11.0017,4.0005,3.0006
Matchweek 6,15.0018,4.0005,7.0001,9.0016,13.0015,10.001,6.0008,4.0007,8.0012,8.0013,1.0003,9.0019,14.002,12.0011,7.0014,4.0002,7.0006,14.0017,4.0004,6.0009
Matchweek 8,18.0018,7.0006,8.0001,9.0015,13.0016,10.001,6.0008,7.0009,11.0014,8.0012,1.0002,9.0017,17.002,12.0011,8.0013,4.0003,7.0007,17.0019,4.0004,6.0005
Matchweek 9,21.0019,8.0007,9.0002,10.0014,14.0016,13.0013,6.0008,10.0011,11.001,9.0013,4.0003,10.0017,20.002,12.0009,11.0015,4.0001,7.0005,17.0018,7.0006,6.0004
Matchweek 10,24.0019,9.0006,12.0002,10.0013,14.0015,16.0014,9.0009,10.0011,11.0007,9.0012,4.0005,10.0017,23.002,15.001,14.0016,5.0001,7.0004,20.0018,10.0008,6.0003
Matchweek 11,27.0019,9.0006,13.0002,13.0013,14.0014,19.0015,10.001,10.0008,12.0007,9.0011,5.0004,13.0017,23.002,16.0012,15.0016,5.0001,8.0003,23.0018,11.0009,9.0005
Matchweek 12,27.0019,9.0004,13.0002,14.0013,15.0014,20.0015,13.001,10.0007,15.0011,9.0008,8.0006,16.0018,23.002,19.0012,18.0016,6.0001,11.0005,23.0018,11.0009,9.0003
Matchweek 13,28.0019,12.0005,13.0002,14.0008,15.0014,21.0015,13.0007,13.0011,18.0013,9.0006,11.0009,16.0016,26.002,20.0012,21.0018,9.0001,12.0004,23.0017,14.0011,9.0003
Matchweek 14,31.0019,12.0005,13.0002,15.0009,18.0015,21.0014,16.0008,14.0011,19.0012,12.0006,11.0007,16.0016,29.002,23.0013,24.0018,9.0001,12.0005,26.0017,14.001,10.0003
Matchweek 15,34.0019,15.0005,13.0002,16.0009,21.0015,21.0014,19.001,14.0006,19.0013,15.0008,14.0011,19.0016,32.002,23.0012,27.0018,10.0001,12.0004,26.0017,14.0007,10.0003
